country_str,market_location_str,commodity,latitude,longitude,beta,std_error
Mozambique,Sussundenga,Urea,-19.975,33.396111,1.015138,0.0618582
Niger,Gaya,Urea,11.885996,3.441331,0.6223843,0.0794902
Niger,Konni,Urea,13.791667,5.25,0.5433132,0.0771875
Niger,Maradi,Urea,13.491667,7.096389,0.5812094,0.0789149
Niger,Niamey,Urea,13.511667,2.125278,0.6114542,0.0779213
Niger,Tillabery,Urea,14.216667,1.45,0.6104004,0.081593
Niger,Zinder,Urea,13.805278,8.988333,0.5658589,0.0863132
Nigeria,Abuja,Urea,9.066667,7.483333,0.72787,0.075509
Nigeria,Anambra,Urea,6.333333,7,0.6867967,0.076513
Nigeria,Ibadan,Urea,7.396389,3.916667,0.5658507,0.0840827
Nigeria,Kaduna,Urea,10.523056,"7.440278
",0.533434,0.0798379
Nigeria,Kano,Urea,12,8.516667,0.6241087,0.0764066
Nigeria,Lagos,Urea,6.455027,3.384082,0.6825992,0.0775228
Rwanda,Butare,Urea,-2.6,29.75,0.7418294,0.1133993
Rwanda,Kigali,Urea,-1.94488,30.06238,0.741216,0.0971504
Rwanda,Musanze,Urea,-1.5,29.633333,0.73248,0.0952756
Senegal,Dakar,Urea,14.692778,-17.446667,0.4875992,0.0563405
Senegal,Kaolack,Urea,14.016667,-16.25,0.5609961,0.0546193
Senegal,Kolda,Urea,12.883333,-14.95,0.9293885,0.0606631
Senegal,Louga,Urea,15.65,-16.35,0.8161345,0.0707853
Senegal,Saint-Louis,Urea,16.033333,-16.5,0.5026752,0.0554653
Senegal,Thies,Urea,14.783333,-16.916667,0.6066831,0.055207
Senegal,Ziguinchor,Urea,12.561944,-16.283889,1.126692,0.0622599
Tanzania,Arusha,Urea,-3.37171,36.694771,0.7578133,0.0655967
Tanzania,Bunda,Urea,-2.05,33.8667,1.001907,0.0820852
Tanzania,Dar es Salaam,Urea,-6.81492,39.28841,0.7176575,0.0644823
Tanzania,Mbeya,Urea,-8.89272,33.44118,0.6482413,0.0814778
Tanzania,Morogoro,Urea,-6.816667,37.666667,0.6991258,0.0631386
Tanzania,Moshi,Urea,-3.334883,37.340381,0.5822992,0.0811744
Tanzania,Musoma,Urea,-1.5,33.8,0.7270036,0.0743314
Tanzania,Mwanza,Urea,-2.516667,32.9,0.7934327,0.0753708
Tanzania,Songea,Urea,-10.683333,35.65,0.626333,0.0750187
Togo,Atakpame,Urea,7.526944,1.126667,1.029598,0.2570458
Togo,Dapaong,Urea,10.867778,0.203611,1.002397,0.2565881
Togo,Lome,Urea,6.131944,1.222778,0.933086,0.2434668
Togo,Sokode,Urea,8.983333,1.133333,0.8811875,0.2565881
Uganda,Arua,Urea,3.038333,30.910833,1.221051,0.055228
Uganda,Iganga,Urea,0.615,33.485,0.9269056,0.0553627
Uganda,Kabale,Urea,-1.25,29.99,0.917074,0.0571811
Uganda,Kampala,Urea,0.347596,32.58252,0.8467774,0.0590744
Uganda,Kapchorwa,Urea,1.4,34.45,0.7964241,0.0549213
Uganda,Kasese,Urea,0.186667,30.088056,1.009442,0.0597255
Uganda,Lira,Urea,2.258083,32.887405,1.028015,0.056469
Uganda,Masaka,Urea,-0.341111,31.736111,0.8784492,0.057007
Uganda,Mbale,Urea,1.080556,34.175,0.7815728,0.0519808
Zambia,Chibombo,Urea,-14.683333,28.1,0.8047644,0.0675111
Zambia,Chipata,Urea,-13.645278,32.646389,0.8014109,0.0732437
Zambia,Choma,Urea,-16.816667,26.975,1.139012,0.0811792
Zambia,Kabwe,Urea,-14.433333,28.45,0.7346015,0.0731127
Zambia,Kalomo,Urea,-17.05,26.5,0.862201,0.0836457
Zambia,Kitwe,Urea,-12.816667,28.2,0.8721198,0.067519
Zambia,Luanshya,Urea,-13.133333,28.4,0.7888796,0.0743677
Zambia,Lusaka,Urea,-15.416667,28.283333,0.8314796,0.0675609
Zambia,Mufulira,Urea,-12.55,28.233333,0.6318355,0.0805031
