country_str,market_location_str,commodity,latitude,longitude,beta,std_error
Mozambique,Maxixe,Maize,-23.866667,35.35,0.3439724,0.0389947
Mozambique,Milange,Maize,-16.1,35.766667,0.036621,0.034089
Mozambique,Montepuez,Maize,-13.116667,39,0.2151757,0.0384696
Mozambique,Nampula,Maize,-15.116667,39.266667,0.1982478,0.0305788
Mozambique,Ribaue,Maize,-15.049444,38.281389,0.0772257,0.0384619
Niger,Agadez,Maize,16.97427,7.98909,1.013679,0.0443895
Niger,Dosso,Maize,13.04418,3.20027,0.8781373,0.0442968
Niger,Maradi,Maize,13.50715,7.10679,0.7973377,0.0443405
Niger,Niamey,Maize,13.50795,2.11603,0.8340058,0.0442116
Niger,Tillaberi,Maize,14.20784,1.45275,0.89107,0.0442362
Niger,Zinder,Maize,13.801812,8.98527,0.8135853,0.044443
Nigeria,Giwa,Maize,11.2802,7.4179,0.6784449,0.0678706
Nigeria,Ibadan,Maize,7.396389,3.916667,0.771071,0.06271
Nigeria,Kano,Maize,12,8.516667,0.859716,0.0561725
Nigeria,Kaura Namoda,Maize,12.6,6.589722,0.8323022,0.0659045
Nigeria,Lagos,Maize,6.455027,3.384082,0.8981639,0.063066
Nigeria,Maiduguri,Maize,11.833333,13.15,0.8579046,0.063066
Rwanda,Kigali,Maize,-1.94488,30.06238,0.7794762,0.0844584
Somalia,Baidoa,Maize,3.116667,43.65,0.2604825,0.0398137
Somalia,Belet Weyne,Maize,4.735833,45.203611,0.5662185,0.0397052
Somalia,Borama,Maize,9.933056,43.181667,-0.2509196,0.0406647
Somalia,Bossaso,Maize,11.17,49.11,1.095391,0.0459023
Somalia,Buale,Maize,1.083333,42.583333,0.3781151,0.0402068
Somalia,Galkayo,Maize,6.769722,47.430833,1.001215,0.039986
Somalia,Hargeisa,Maize,9.563056,44.0675,-0.1776749,0.0400799
Somalia,Hudur,Maize,4.12,43.887778,0.6808475,0.0396629
Somalia,Kismayo,Maize,-0.358056,42.545278,0.5681706,0.0417316
Somalia,Marka,Maize,1.68333,44.75,0.3635908,0.0395968
Somalia,Mogadishu,Maize,2.033333,45.333333,0.4979471,0.0444349
Somalia,Qorioley,Maize,1.783333,44.533333,0.1691969,0.0396908
South Africa,Randfontein,Maize,-26.179722,27.704167,0.2695692,0.0801778
South Sudan,Aweil,Maize,8.767222,27.399722,0.9416079,0.0606086
South Sudan,Bor,Maize,6.2125,31.560833,1.082819,0.0635059
South Sudan,Gogrial,Maize,8.53,28.1,1.12409,0.0624851
South Sudan,Juba,Maize,4.85,13.6,1.12927,0.0606886
South Sudan,Rumbek,Maize,6.806,29.676,1.343171,0.0623745
South Sudan,Torit,Maize,4.408056,32.575,0.8817175,0.0621853
South Sudan,Wau,Maize,7.7,28,1.109357,0.0620233
South Sudan,Yambio,Maize,4.565,28.375,0.5114132,0.0609544
Tanzania,Arusha,Maize,-3.37171,36.694771,0.4701636,0.0658306
Tanzania,Dar es Salaam,Maize,-6.81492,39.28841,0.5584161,0.063321
Tanzania,Iringa,Maize,-7.78029,35.696819,0.4139769,0.0657677
Tanzania,Mbeya,Maize,-8.89272,33.44118,0.0705026,0.0866772
Tanzania,Songea,Maize,-10.683333,35.65,0.0760061,0.075727
Togo,Amegnran,Maize,6.466667,1.566667,0.5973811,0.0444064
Togo,Anie,Maize,7.7611,1.1917,0.3679514,0.0444064
Togo,Cinkasse,Maize,11.101,0.015,0.4701319,0.0444064
Togo,Kara,Maize,9.548889,1.190556,0.4748616,0.0444064
Togo,Korbongou,Maize,9.716667,0.45,0.4572326,0.0444064
Togo,Lome,Maize,6.131944,1.222778,0.7555312,0.0444064
Uganda,Busia,Maize,0.466944,34.09,0.4158173,0.0582469
Uganda,Kampala,Maize,0.347596,32.58252,0.3487538,0.0545559
Uganda,Lira,Maize,2.258083,32.887405,0.2503107,0.0561581
